Id,SalePrice
1461,124886.35631711481
1462,150859.33347161033
1463,180040.9145337732
1464,185606.03084393239
1465,189918.98788615482
1466,182743.7982540813
1467,168394.02467574534
1468,174615.2539339129
1469,178930.89905291755
1470,125786.7324409371
1471,200043.62359506843
1472,95031.19275973729
1473,99823.98424592103
1474,153788.77534436286
1475,120423.23024702384
1476,359068.7760865496
1477,247572.12642812752
1478,313347.19688462536
1479,291623.52694916015
1480,431131.22109614837
1481,303264.42046527244
1482,207680.6022880603
1483,182979.08866405705
1484,172839.5871368336
1485,175082.17463711643
1486,201333.4681769609
1487,303671.1020550289
1488,240883.96197203925
1489,205563.0773073514
1490,213238.86566718775
1491,191218.9592500686
1492,98093.77119486319
1493,177411.53957561043
1494,295659.040445056
1495,284615.9760478128
1496,231725.54579346688
1497,185877.4138260332
1498,154104.33506107933
1499,152985.4274808545
1500,159715.98463902448
1501,171024.52904218962
1502,158798.2366105444
1503,273661.285031691
1504,230613.1290108865
1505,220806.54409315117
1506,174829.56111032516
1507,234075.3075103851
1508,191931.6276139601
1509,157578.1424414579
1510,149794.4337298821
1511,150026.14531734833
1512,166278.14344517127
1513,139561.3830070415
1514,145919.6673368483
1515,182273.7083577854
1516,158329.6011254951
1517,152136.3110053911
1518,128280.95624845281
1519,226262.35008430574
1520,137734.89945148915
1521,141513.31579455166
1522,163479.62495732663
1523,110807.5951831774
1524,115914.60636946639
1525,127306.85665232532
1526,130045.11492072039
1527,105292.84913434307
1528,124558.33684360147
1529,137954.44551229512
1530,161600.2858670254
1531,132525.737393566
1532,103268.12980611414
1533,133806.38308576756
1534,117103.95333749667
1535,151652.8872927065
1536,116918.06691661965
1537,104417.59575290706
1538,157882.44478678296
1539,197707.0555653909
1540,120861.73035215326
1541,141246.65652832208
1542,138231.34579763238
1543,188748.17944579164
1544,87824.96780723649
1545,99920.1904093858
1546,124351.60475037129
1547,135260.09159016595
1548,125346.5323332669
1549,114423.95002000802
1550,142723.4732113357
1551,119956.86749947244
1552,142045.55531516412
1553,136814.10931690966
1554,104045.7680639182
1555,174017.81809058815
1556,101045.79815091491
1557,115425.26695430167
1558,96880.10968580631
1559,109961.679655067
1560,146255.0637501737
1561,136735.16859645094
1562,122224.96446064133
1563,123252.15754635386
1564,160833.44716426413
1565,157528.06886883054
1566,216127.21978056492
1567,86906.65837035312
1568,218094.35215580894
1569,148199.57289569834
1570,138930.05654002875
1571,130691.85543454152
1572,141800.98210688148
1573,232222.32588929788
1574,127832.21242638007
1575,212450.10727211155
1576,233542.26077910353
1577,196619.1526545848
1578,131464.66287267875
1579,145277.7654536624
1580,187270.6859855912
1581,137842.21741733095
1582,125723.84594556392
1583,317162.88782620936
1584,238891.70367314536
1585,140628.50886694327
1586,79225.25494458128
1587,99467.40504097707
1588,144704.9923730641
1589,104564.78063077643
1590,128971.40111775592
1591,96573.36677475717
1592,127171.3434381771
